window_id,video_name,timestamp_sec,dominant_freq,amp_mean_x,amp_mean_y,symmetry_ratio,motion_stability,freq_entropy,energy_distribution
0,989,0.0,0.275,0.152099,0.172735,0.880536,1.390237,10.103002,0.251974
1,989,2.0,0.295236,0.275034,0.325147,0.845876,1.527513,10.343519,0.208506
2,989,4.0,3.04,0.163512,0.244488,0.668796,1.267799,10.233446,0.232596
3,989,6.0,0.31,0.159218,0.236093,0.674387,1.448452,10.20013,0.300055
4,989,8.0,0.5,0.088213,0.166518,0.529752,1.242312,10.170618,0.286252
5,989,10.0,0.545,0.104585,0.156734,0.667278,1.660448,9.972178,0.337902
6,989,12.0,0.145,0.152096,0.280765,0.54172,1.56815,10.180032,0.291337
7,989,14.0,0.145,0.213538,0.300362,0.710935,1.561191,10.082483,0.342878
8,989,16.0,0.11,0.200641,0.224756,0.892707,1.609343,10.249989,0.268479
9,989,18.0,0.105,0.256124,0.254753,1.005382,1.24153,10.19576,0.220823
10,989,20.0,0.29,0.089657,0.105766,0.847697,1.304786,9.887756,0.238127
11,989,22.0,0.295,0.11879,0.112135,1.059349,1.251786,9.78804,0.350461
12,989,24.0,0.535,0.148564,0.161812,0.918124,1.406119,10.287981,0.267663
13,989,26.0,0.29,0.081719,0.096666,0.845381,1.362128,9.904495,0.308681
