,aggression_conf,stress_conf,tension_conf,suspicious_conf,balance_conf,confidence_conf,vitality_conf,self_regulation_conf,depression_conf,neuroticism_conf
1,0.767536355,0.767536355,0.767536355,0.767536355,0.767536355,0.767536355,0.767536355,0.767536355,0.767536355,0.767536355
2,0.737701755,0.737701755,0.737701755,0.737701755,0.737701755,0.737701755,0.737701755,0.737701755,0.737701755,0.737701755
3,0.426115892,0.426115892,0.426115892,0.426115892,0.426115892,0.426115892,0.602618874,0.602618874,0.426115892,0.426115892
4,0.704291306,0.704291306,0.704291306,0.704291306,0.704291306,0.704291306,0.704291306,0.704291306,0.704291306,0.704291306
5,0.439497113,0.439497113,0.439497113,0.439497113,0.439497113,0.439497113,0.310771389,0.310771389,0.439497113,0.439497113
6,0.585619108,0.585619108,0.585619108,0.585619108,0.585619108,0.585619108,0.585619108,0.585619108,0.585619108,0.585619108
7,0.858443032,0.858443032,0.858443032,0.858443032,0.858443032,0.858443032,0.858443032,0.858443032,0.858443032,0.858443032
8,0.675714886,0.675714886,0.675714886,0.675714886,0.675714886,0.675714886,0.675714886,0.675714886,0.675714886,0.675714886
9,0.624277047,0.624277047,0.624277047,0.624277047,0.624277047,0.624277047,0.624277047,0.624277047,0.624277047,0.624277047
10,0.483729288,0.483729288,0.483729288,0.483729288,0.483729288,0.483729288,0.483729288,0.483729288,0.483729288,0.483729288
11,0.761647536,0.761647536,0.761647536,0.761647536,0.761647536,0.761647536,0.761647536,0.761647536,0.761647536,0.761647536
12,0.713124744,0.713124744,0.713124744,0.713124744,0.713124744,0.713124744,0.713124744,0.713124744,0.713124744,0.713124744
13,0.683348565,0.683348565,0.683348565,0.683348565,0.683348565,0.683348565,0.683348565,0.683348565,0.683348565,0.683348565
14,0.402429875,0.402429875,0.402429875,0.402429875,0.402429875,0.402429875,0.402429875,0.402429875,0.402429875,0.402429875
15,0.80811819,0.80811819,0.80811819,0.80811819,0.80811819,0.80811819,0.80811819,0.80811819,0.80811819,0.80811819
16,0.636197364,0.636197364,0.636197364,0.636197364,0.636197364,0.636197364,0.636197364,0.636197364,0.636197364,0.636197364
17,0.453933671,0.453933671,0.453933671,0.453933671,0.453933671,0.453933671,0.453933671,0.453933671,0.453933671,0.453933671
18,0.497392611,0.497392611,0.497392611,0.497392611,0.497392611,0.497392611,0.497392611,0.497392611,0.497392611,0.497392611
19,0.707015584,0.707015584,0.707015584,0.707015584,0.707015584,0.707015584,0.707015584,0.707015584,0.707015584,0.707015584
20,0.652225431,0.652225431,0.652225431,0.652225431,0.652225431,0.652225431,0.652225431,0.652225431,0.652225431,0.652225431
21,0.651873084,0.651873084,0.651873084,0.651873084,0.651873084,0.651873084,0.651873084,0.651873084,0.651873084,0.651873084
22,0.916376969,0.916376969,0.916376969,0.916376969,0.916376969,0.916376969,0.916376969,0.916376969,0.916376969,0.916376969
