order,aggression,stress,tension,suspicious,balance,confidence,vitality,self_regulation,depression,neuroticism
1,40.63508844,30.90526532,64.49719457,33.08912381,63.82175237,74.49473468,22.44069931,68.94877006,17.08631838,32.43228301
2,40.53662975,30.60988926,64.28058546,32.95128166,64.09743669,74.79011074,22.77545884,69.20476264,16.73186712,32.11721521
3,40.41367032,30.66811569,64.4226397,32.90454367,64.25452401,74.913631,23.29529906,69.49083403,16.49549565,32.14085369
4,40.72565605,30.99275913,64.57302327,33.14407695,63.76250358,74.430267,22.39342519,68.8855297,17.13881139,32.50657481
5,40.67009312,30.97863412,64.66676716,33.14525054,63.90728161,74.57563638,22.82879823,69.12595123,16.86898446,32.44303323
6,40.79883699,30.76738046,64.43592394,33.07301089,64.02698911,74.71126085,22.7741739,69.11126085,16.74155436,32.22019567
7,41.20007822,31.12638577,64.75269333,33.30530844,63.79469156,74.45784534,22.60523022,68.85784534,16.931616,32.51584711
8,40.69936671,31.0199171,64.59091511,33.18536803,63.71135611,74.37617375,22.30971818,68.85044762,17.21373672,32.56682691
9,40.59743046,30.79229137,64.41434701,33.03640264,63.92719472,74.60770863,22.56873644,69.04668081,16.95074965,32.31177746
10,40.54981435,30.85096477,64.53058617,33.13548604,63.91922819,74.59884959,22.63054963,69.05319252,16.8830361,32.34870048
11,40.58878181,30.9143151,64.67350298,33.07756362,64.05203032,74.72243638,23.19593936,69.35918787,16.65918787,32.35512723
12,40.63839264,30.98004946,64.73627147,33.15516142,63.99241105,74.65781289,23.13786234,69.31297431,16.71676879,32.43680176
13,40.50840934,30.53924359,64.24484981,32.91681868,64.18598443,74.88318132,22.92803113,69.30560623,16.60560623,32.03363736
14,40.48696518,30.59124374,64.29124374,32.95648422,64.16958542,74.84786072,22.88262024,69.2565506,16.6217247,32.0868988
15,41.18244248,31.11060643,64.73877038,33.29509828,63.80490172,74.46898369,22.6126558,68.86898369,16.92326223,32.50285236
16,40.54129604,30.87166433,64.55101631,33.16842424,63.89027972,74.56963171,22.56963171,69.01092774,16.90972028,32.37166433
17,40.42560579,30.40372514,64.12122966,32.89124774,64.30940325,74.9875226,23.00502712,69.40065099,16.49059675,31.95186257
18,40.18693906,30.17361732,63.90026081,32.62690429,64.55968703,75.22638268,23.2663479,69.61306094,16.26695645,31.70692168
19,40.67171409,30.96873307,64.71514228,33.11812331,64.00972222,74.67723577,23.14132792,69.3,16.69745935,32.39911925
20,40.93666426,30.8906996,64.54473494,33.15280562,63.94719438,74.62421205,22.71614137,69.02421205,16.80684096,32.32175261
21,40.26843435,30.18159723,63.92501579,32.68773148,64.57629419,75.23769991,23.31006418,69.62322706,16.21405724,31.71536722
22,40.70993669,31.12981006,64.66186071,33.19391136,63.61217728,74.27018994,22.18621526,68.75416461,17.35577207,32.6717974
23,40.5641428,30.86882111,64.59287466,33.10044626,63.99955374,74.67550019,22.9320714,69.2198215,16.75233915,32.33674971
24,40.59123608,30.77370823,64.40071937,33.02773051,63.94453898,74.62629177,22.58979734,69.0627862,16.92844988,32.29195545
25,41.18059547,31.10895384,64.73731221,33.29402896,63.80597104,74.47015023,22.61343349,68.87015023,16.92238733,32.5014914
26,40.80711733,30.80195569,64.46066261,33.08839971,63.99353457,74.67546884,22.73224684,69.08063048,16.78581889,32.25808179
27,40.56717173,30.65953286,64.33994111,33.00355642,64.07125418,74.76005889,22.79084594,69.20204122,16.74273993,32.17072815
28,40.85564564,30.87636286,64.52802268,33.19349397,63.9099589,74.5857888,22.62722325,69.01341177,16.87622962,32.36600425
29,39.98804011,29.86989552,63.64865858,32.42742164,64.86948601,75.53010448,23.60886754,69.89072295,15.93051399,31.40927705
30,40.69363155,30.95350547,64.6331232,33.11910939,63.92483938,74.59426597,22.83885319,69.13694185,16.85987392,32.4178365
31,40.91133925,30.86804038,64.52474151,33.13814378,63.96185622,74.64020679,22.72680453,69.04020679,16.79484491,32.30309208
32,40.57422512,31.06081205,64.75256482,33.27112562,63.7876382,74.45464925,22.58660503,68.97011056,16.98762009,32.54431758
33,40.01867036,29.90759429,63.68164501,32.45569572,64.82943106,75.49240571,23.56645642,69.85538035,15.97056894,31.44461965
34,39.94985257,29.82289547,63.60753354,32.39217161,64.91942356,75.57710453,23.66174259,69.93478549,15.88057644,31.36521451
35,40.62510381,30.93946722,64.59135037,33.18870109,63.83431195,74.50864963,22.50864963,68.95355869,16.98493479,32.43625943
36,40.87621489,30.94061203,64.6067188,33.20842842,63.90173955,74.57462496,22.69325128,69.01868616,16.85419925,32.39655083
37,40.5,30.5,64.2,32.9,64.2,74.9,22.9,69.3,16.6,32
38,40.51265908,30.61393176,64.30760222,32.98228405,64.10505687,74.79872732,22.79872732,69.21138641,16.69494313,32.11393176
39,40.40968988,30.58278427,64.34299102,32.87742247,64.29783596,74.96773259,23.29134384,69.50696068,16.44572022,32.05644382
40,40.58020102,30.78434906,64.42237554,33.04946553,63.94116945,74.62294194,22.59377794,69.05939695,16.91715856,32.29893106
41,40.61448115,30.8039672,64.47041238,33.09935511,63.95327338,74.63550906,22.64340431,69.06314244,16.85462187,32.29607195
42,40.61415258,30.83294503,64.55514137,33.07122887,64.03828384,74.71608751,22.98244353,69.24926552,16.70781077,32.29172327
43,40.62769139,31.09589316,64.88102076,33.15538278,63.98718101,74.64461722,23.32563797,69.38512759,16.68512759,32.51076557
44,40.69943237,30.89198777,64.51290252,33.19571007,63.82520468,74.49769676,22.4529964,68.96302806,17.04356511,32.45044209
45,40.66680275,31.09572412,64.86721101,33.20977654,63.94741297,74.60452084,23.20977654,69.32382896,16.738208,32.5385346
46,40.82260243,30.87988698,64.55576717,33.29194688,63.88342752,74.55629273,22.6105623,69.03468211,16.89546765,32.4281266
47,40.65587582,30.83702879,64.52439021,33.1527716,63.95144126,74.63037697,22.7104213,69.09356986,16.82749444,32.33281593
48,40.67335758,31.02007274,64.58138667,33.14270061,63.71459878,74.37992726,22.31058423,68.8492703,17.22408728,32.55474425
49,40.71222812,31.13668436,64.66690187,33.19711937,63.60576126,74.26331564,22.17842439,68.74820689,17.36402123,32.67912999
50,40.58998929,30.71112871,64.35575069,32.99345041,64.02694368,74.70617692,22.69925467,69.13040481,16.82151209,32.21805096
51,40.96010356,30.9365085,64.5893184,33.24999331,63.88146677,74.5539392,22.62472437,68.97753426,16.87920814,32.40898094
52,40.7091765,31.06915467,64.7156444,33.32321757,63.72327216,74.38922017,22.39408474,68.85245958,17.08645698,32.57888381
53,41.35229302,31.26257797,64.87286291,33.3934328,63.7065672,74.36170967,22.54113978,68.76170967,17.00371775,32.62800539
54,40.0692469,30.05091698,63.78757682,32.52423665,64.69490782,75.34908302,23.40407278,69.7307531,16.14175202,31.59674177
55,40.14849437,30.06501178,63.82213145,32.60561404,64.66574496,75.3305944,23.38771406,69.71301911,16.13425504,31.61334381
56,40.5705177,31.00369785,64.70369785,33.22236662,63.84741151,74.51718964,22.67837295,69.03807712,16.92236662,32.48354993
57,40.66815066,31.00445198,64.56993146,33.13541093,63.72917815,74.39554802,22.32828775,68.86280828,17.20534238,32.53808212
58,40.80928751,31.10348783,64.74313904,33.2470055,63.76624312,74.42852514,22.57185349,68.92659191,17.03375688,32.56576984
59,41.232519,31.19922268,64.80765781,33.34117622,63.72968951,74.38806911,22.52957846,68.79639319,17.01204194,32.59100965
60,40.04453767,29.93943097,63.7095021,32.47957323,64.79560459,75.46056903,23.53064015,69.82553346,16.00439541,31.47446654
